x y z
2.0 1.0 1.0
2.25 1.0 1.25
2.5 1.0 1.5
2.75 1.0 1.75
3.0 1.0 2.0
3.25 1.0 2.25
3.5 1.0 2.5
3.75 1.0 2.75
4.0 1.0 3.0
4.25 1.0 3.25
4.5 1.0 3.5
4.75 1.0 3.75
-5.0 1.25 4.0
-4.75 1.25 3.75
-4.5 1.25 3.5
-4.25 1.25 3.25
-4.0 1.25 3.0
-3.75 1.25 2.75
-3.5 1.25 2.5
-3.25 1.25 2.25
-3.0 1.25 2.0
-2.75 1.25 1.75
-2.5 1.25 1.5
-2.25 1.25 1.25
-2.0 1.25 1.0
-1.75 1.25 0.75
-1.5 1.25 0.5
-1.25 1.25 0.25
-1.0 1.25 0.0
-0.75 1.25 -0.25
-0.5 1.25 -0.5
-0.25 1.25 -0.75
0.0 1.25 -1.0
0.25 1.25 -0.75
0.5 1.25 -0.5
0.75 1.25 -0.25
1.0 1.25 0.0
1.25 1.25 0.25
1.5 1.25 0.5
1.75 1.25 0.75
2.0 1.25 1.0
2.25 1.25 1.25
2.5 1.25 1.5
2.75 1.25 1.75
3.0 1.25 2.0
3.25 1.25 2.25
3.5 1.25 2.5
3.75 1.25 2.75
4.0 1.25 3.0
4.25 1.25 3.25
4.5 1.25 3.5
4.75 1.25 3.75
-5.0 1.5 4.0
-4.75 1.5 3.75
-4.5 1.5 3.5
-4.25 1.5 3.25
-4.0 1.5 3.0
-3.75 1.5 2.75
-3.5 1.5 2.5
-3.25 1.5 2.25
-3.0 1.5 2.0
-2.75 1.5 1.75
-2.5 1.5 1.5
-2.25 1.5 1.25
-2.0 1.5 1.0
-1.75 1.5 0.75
-1.5 1.5 0.5
-1.25 1.5 0.25
-1.0 1.5 0.0
-0.75 1.5 -0.25
-0.5 1.5 -0.5
-0.25 1.5 -0.75
0.0 1.5 -1.0
0.25 1.5 -0.75
0.5 1.5 -0.5
0.75 1.5 -0.25
1.0 1.5 0.0
1.25 1.5 0.25
1.5 1.5 0.5
1.75 1.5 0.75
2.0 1.5 1.0
2.25 1.5 1.25
2.5 1.5 1.5
2.75 1.5 1.75
3.0 1.5 2.0
3.25 1.5 2.25
3.5 1.5 2.5
3.75 1.5 2.75
4.0 1.5 3.0
4.25 1.5 3.25
4.5 1.5 3.5
4.75 1.5 3.75
-5.0 1.75 4.0
-4.75 1.75 3.75
-4.5 1.75 3.5
-4.25 1.75 3.25
-4.0 1.75 3.0
-3.75 1.75 2.75
-3.5 1.75 2.5
-3.25 1.75 2.25
-3.0 1.75 2.0
-2.75 1.75 1.75
-2.5 1.75 1.5
-2.25 1.75 1.25
-2.0 1.75 1.0
-1.75 1.75 0.75
-1.5 1.75 0.5
-1.25 1.75 0.25
-1.0 1.75 0.0
-0.75 1.75 -0.25
-0.5 1.75 -0.5
-0.25 1.75 -0.75
0.0 1.75 -1.0
0.25 1.75 -0.75
0.5 1.75 -0.5
0.75 1.75 -0.25
1.0 1.75 0.0
1.25 1.75 0.25
1.5 1.75 0.5
1.75 1.75 0.75
2.0 1.75 1.0
2.25 1.75 1.25
2.5 1.75 1.5
2.75 1.75 1.75
3.0 1.75 2.0
3.25 1.75 2.25
3.5 1.75 2.5
3.75 1.75 2.75
4.0 1.75 3.0
4.25 1.75 3.25
4.5 1.75 3.5
4.75 1.75 3.75
-5.0 2.0 4.0
-4.75 2.0 3.75
-4.5 2.0 3.5
-4.25 2.0 3.25
-4.0 2.0 3.0
-3.75 2.0 2.75
-3.5 2.0 2.5
-3.25 2.0 2.25
-3.0 2.0 2.0
-2.75 2.0 1.75
-2.5 2.0 1.5
-2.25 2.0 1.25
-2.0 2.0 1.0
-1.75 2.0 0.75
-1.5 2.0 0.5
-1.25 2.0 0.25
-1.0 2.0 0.0
-0.75 2.0 -0.25
-0.5 2.0 -0.5
-0.25 2.0 -0.75
0.0 2.0 -1.0
0.25 2.0 -0.75
0.5 2.0 -0.5
0.75 2.0 -0.25
1.0 2.0 0.0
1.25 2.0 0.25
1.5 2.0 0.5
1.75 2.0 0.75
2.0 2.0 1.0
2.25 2.0 1.25
2.5 2.0 1.5
2.75 2.0 1.75
3.0 2.0 2.0
3.25 2.0 2.25
3.5 2.0 2.5
3.75 2.0 2.75
4.0 2.0 3.0
4.25 2.0 3.25
4.5 2.0 3.5
4.75 2.0 3.75
-5.0 2.25 4.0
-4.75 2.25 3.75
-4.5 2.25 3.5
-4.25 2.25 3.25
-4.0 2.25 3.0
-3.75 2.25 2.75
-3.5 2.25 2.5
-3.25 2.25 2.25
-3.0 2.25 2.0
-2.75 2.25 1.75
-2.5 2.25 1.5
-2.25 2.25 1.25
-2.0 2.25 1.0
-1.75 2.25 0.75
-1.5 2.25 0.5
-1.25 2.25 0.25
-1.0 2.25 0.0
-0.75 2.25 -0.25
-0.5 2.25 -0.5
-0.25 2.25 -0.75
0.0 2.25 -0.75
0.25 2.25 -0.75
0.5 2.25 -0.5
0.75 2.25 -0.25
1.0 2.25 0.0
1.25 2.25 0.25
1.5 2.25 0.5
1.75 2.25 0.75
2.0 2.25 1.0
2.25 2.25 1.25
2.5 2.25 1.5
2.75 2.25 1.75
3.0 2.25 2.0
3.25 2.25 2.25
3.5 2.25 2.5
3.75 2.25 2.75
4.0 2.25 3.0
4.25 2.25 3.25
4.5 2.25 3.5
4.75 2.25 3.75
-5.0 2.5 4.0
-4.75 2.5 3.75
-4.5 2.5 3.5
-4.25 2.5 3.25
-4.0 2.5 3.0
-3.75 2.5 2.75
-3.5 2.5 2.5
-3.25 2.5 2.25
-3.0 2.5 2.0
-2.75 2.5 1.75
-2.5 2.5 1.5
-2.25 2.5 1.25
-2.0 2.5 1.0
-1.75 2.5 0.75
-1.5 2.5 0.5
-1.25 2.5 0.25
-1.0 2.5 0.0
-0.75 2.5 -0.25
-0.5 2.5 -0.5
-0.25 2.5 -0.5
0.0 2.5 -0.5
0.25 2.5 -0.5
0.5 2.5 -0.5
0.75 2.5 -0.25
1.0 2.5 0.0
1.25 2.5 0.25
1.5 2.5 0.5
1.75 2.5 0.75
2.0 2.5 1.0
2.25 2.5 1.25
2.5 2.5 1.5
2.75 2.5 1.75
3.0 2.5 2.0
3.25 2.5 2.25
3.5 2.5 2.5
3.75 2.5 2.75
4.0 2.5 3.0
4.25 2.5 3.25
4.5 2.5 3.5
4.75 2.5 3.75
-5.0 2.75 4.0
-4.75 2.75 3.75
-4.5 2.75 3.5
-4.25 2.75 3.25
-4.0 2.75 3.0
-3.75 2.75 2.75
-3.5 2.75 2.5
-3.25 2.75 2.25
-3.0 2.75 2.0
-2.75 2.75 1.75
-2.5 2.75 1.5
-2.25 2.75 1.25
-2.0 2.75 1.0
-1.75 2.75 0.75
-1.5 2.75 0.5
-1.25 2.75 0.25
-1.0 2.75 0.0
-0.75 2.75 -0.25
-0.5 2.75 -0.25
-0.25 2.75 -0.25
0.0 2.75 -0.25
0.25 2.75 -0.25
0.5 2.75 -0.25
0.75 2.75 -0.25
1.0 2.75 0.0
1.25 2.75 0.25
1.5 2.75 0.5
1.75 2.75 0.75
2.0 2.75 1.0
2.25 2.75 1.25
2.5 2.75 1.5
2.75 2.75 1.75
3.0 2.75 2.0
3.25 2.75 2.25
3.5 2.75 2.5
3.75 2.75 2.75
4.0 2.75 3.0
4.25 2.75 3.25
4.5 2.75 3.5
4.75 2.75 3.75
-5.0 3.0 4.0
-4.75 3.0 3.75
-4.5 3.0 3.5
-4.25 3.0 3.25
-4.0 3.0 3.0
-3.75 3.0 2.75
-3.5 3.0 2.5
-3.25 3.0 2.25
-3.0 3.0 2.0
-2.75 3.0 1.75
-2.5 3.0 1.5
-2.25 3.0 1.25
-2.0 3.0 1.0
-1.75 3.0 0.75
-1.5 3.0 0.5
-1.25 3.0 0.25
-1.0 3.0 0.0
-0.75 3.0 0.0
-0.5 3.0 0.0
-0.25 3.0 0.0
0.0 3.0 0.0
0.25 3.0 0.0
0.5 3.0 0.0
0.75 3.0 0.0
1.0 3.0 0.0
1.25 3.0 0.25
1.5 3.0 0.5
1.75 3.0 0.75
2.0 3.0 1.0
2.25 3.0 1.25
2.5 3.0 1.5
2.75 3.0 1.75
3.0 3.0 2.0
3.25 3.0 2.25
3.5 3.0 2.5
3.75 3.0 2.75
4.0 3.0 3.0
4.25 3.0 3.25
4.5 3.0 3.5
4.75 3.0 3.75
-5.0 3.25 4.00780488547
-4.75 3.25 3.75832409459
-4.5 3.25 3.5089172119
-4.25 3.25 3.2596012026
-4.0 3.25 3.0103986447
-3.75 3.25 2.7613402543
-3.5 3.25 2.51246890528
-3.25 3.25 2.26384628453
-3.0 3.25 2.01556443707
-2.75 3.25 1.76776695297
-2.5 3.25 1.52069063257
-2.25 3.25 1.2747548784
-2.0 3.25 1.0307764064
-1.75 3.25 0.790569415042
-1.5 3.25 0.559016994375
-1.25 3.25 0.353553390593
-1.0 3.25 0.25
-0.75 3.25 0.25
-0.5 3.25 0.25
-0.25 3.25 0.25
0.0 3.25 0.25
0.25 3.25 0.25
0.5 3.25 0.25
0.75 3.25 0.25
1.0 3.25 0.25
1.25 3.25 0.353553390593
1.5 3.25 0.559016994375
1.75 3.25 0.790569415042
2.0 3.25 1.0307764064
2.25 3.25 1.2747548784
2.5 3.25 1.52069063257
2.75 3.25 1.76776695297
3.0 3.25 2.01556443707
3.25 3.25 2.26384628453
3.5 3.25 2.51246890528
3.75 3.25 2.7613402543
4.0 3.25 3.0103986447
4.25 3.25 3.2596012026
4.5 3.25 3.5089172119
4.75 3.25 3.75832409459
-5.0 3.5 4.03112887415
-4.75 3.5 3.78318648761
-4.5 3.5 3.53553390593
-4.25 3.5 3.28823660949
-4.0 3.5 3.04138126515
-3.75 3.5 2.79508497187
-3.5 3.5 2.5495097568
-3.25 3.5 2.30488611432
-3.0 3.5 2.06155281281
-2.75 3.5 1.82002747232
-2.5 3.5 1.58113883008
-2.25 3.5 1.34629120178
-2.0 3.5 1.11803398875
-1.75 3.5 0.901387818866
-1.5 3.5 0.707106781187
-1.25 3.5 0.559016994375
-1.0 3.5 0.5
-0.75 3.5 0.5
-0.5 3.5 0.5
-0.25 3.5 0.5
0.0 3.5 0.5
0.25 3.5 0.5
0.5 3.5 0.5
0.75 3.5 0.5
1.0 3.5 0.5
1.25 3.5 0.559016994375
1.5 3.5 0.707106781187
1.75 3.5 0.901387818866
2.0 3.5 1.11803398875
2.25 3.5 1.34629120178
2.5 3.5 1.58113883008
2.75 3.5 1.82002747232
3.0 3.5 2.06155281281
3.25 3.5 2.30488611432
3.5 3.5 2.5495097568
3.75 3.5 2.79508497187
4.0 3.5 3.04138126515
4.25 3.5 3.28823660949
4.5 3.5 3.53553390593
4.75 3.5 3.78318648761
-5.0 3.75 4.06970514902
-4.75 3.75 3.82426463519
-4.5 3.75 3.57945526582
-4.25 3.75 3.33541601603
-4.0 3.75 3.09232921921
-3.75 3.75 2.85043856275
-3.5 3.75 2.61007662723
-3.25 3.75 2.37170824513
-3.0 3.75 2.13600093633
-2.75 3.75 1.90394327647
-2.5 3.75 1.67705098312
-2.25 3.75 1.45773797371
-2.0 3.75 1.25
-1.75 3.75 1.06066017178
-1.5 3.75 0.901387818866
-1.25 3.75 0.790569415042
-1.0 3.75 0.75
-0.75 3.75 0.75
-0.5 3.75 0.75
-0.25 3.75 0.75
0.0 3.75 0.75
0.25 3.75 0.75
0.5 3.75 0.75
0.75 3.75 0.75
1.0 3.75 0.75
1.25 3.75 0.790569415042
1.5 3.75 0.901387818866
1.75 3.75 1.06066017178
2.0 3.75 1.25
2.25 3.75 1.45773797371
2.5 3.75 1.67705098312
2.75 3.75 1.90394327647
3.0 3.75 2.13600093633
3.25 3.75 2.37170824513
3.5 3.75 2.61007662723
3.75 3.75 2.85043856275
4.0 3.75 3.09232921921
4.25 3.75 3.33541601603
4.5 3.75 3.57945526582
4.75 3.75 3.82426463519
-5.0 4.0 4.12310562562
-4.75 4.0 3.88104367407
-4.5 4.0 3.64005494464
-4.25 4.0 3.40036762718
-4.0 4.0 3.16227766017
-3.75 4.0 2.92617497768
-3.5 4.0 2.69258240357
-3.25 4.0 2.46221445045
-3.0 4.0 2.2360679775
-2.75 4.0 2.01556443707
-2.5 4.0 1.80277563773
-2.25 4.0 1.60078105936
-2.0 4.0 1.41421356237
-1.75 4.0 1.25
-1.5 4.0 1.11803398875
-1.25 4.0 1.0307764064
-1.0 4.0 1.0
-0.75 4.0 1.0
-0.5 4.0 1.0
-0.25 4.0 1.0
0.0 4.0 1.0
0.25 4.0 1.0
0.5 4.0 1.0
0.75 4.0 1.0
1.0 4.0 1.0
1.25 4.0 1.0307764064
1.5 4.0 1.11803398875
1.75 4.0 1.25
2.0 4.0 1.41421356237
2.25 4.0 1.60078105936
2.5 4.0 1.80277563773
2.75 4.0 2.01556443707
3.0 4.0 2.2360679775
3.25 4.0 2.46221445045
3.5 4.0 2.69258240357
3.75 4.0 2.92617497768
4.0 4.0 3.16227766017
4.25 4.0 3.40036762718
4.5 4.0 3.64005494464
4.75 4.0 3.88104367407
-5.0 4.25 4.19076365356
-4.75 4.25 3.95284707521
-4.5 4.25 3.71651718683
-4.25 4.25 3.4820970693
-4.0 4.25 3.25
-3.75 4.25 3.0207614934
-3.5 4.25 2.79508497187
-3.25 4.25 2.57390753525
-3.0 4.25 2.35849528301
-2.75 4.25 2.15058131676
-2.5 4.25 1.95256241898
-2.25 4.25 1.76776695297
-2.0 4.25 1.60078105936
-1.75 4.25 1.45773797371
-1.5 4.25 1.34629120178
-1.25 4.25 1.2747548784
-1.0 4.25 1.25
-0.75 4.25 1.25
-0.5 4.25 1.25
-0.25 4.25 1.25
0.0 4.25 1.25
0.25 4.25 1.25
0.5 4.25 1.25
0.75 4.25 1.25
1.0 4.25 1.25
1.25 4.25 1.2747548784
1.5 4.25 1.34629120178
1.75 4.25 1.45773797371
2.0 4.25 1.60078105936
2.25 4.25 1.76776695297
2.5 4.25 1.95256241898
2.75 4.25 2.15058131676
3.0 4.25 2.35849528301
3.25 4.25 2.57390753525
3.5 4.25 2.79508497187
3.75 4.25 3.0207614934
4.0 4.25 3.25
4.25 4.25 3.4820970693
4.5 4.25 3.71651718683
4.75 4.25 3.95284707521
-5.0 4.5 4.27200187266
-4.75 4.5 4.03887360535
-4.5 4.5 3.80788655293
-4.25 4.5 3.57945526582
-4.0 4.5 3.35410196625
-3.75 4.5 3.13249102154
-3.5 4.5 2.91547594742
-3.25 4.5 2.7041634566
-3.0 4.5 2.5
-2.75 4.5 2.30488611432
-2.5 4.5 2.12132034356
-2.25 4.5 1.95256241898
-2.0 4.5 1.80277563773
-1.75 4.5 1.67705098312
-1.5 4.5 1.58113883008
-1.25 4.5 1.52069063257
-1.0 4.5 1.5
-0.75 4.5 1.5
-0.5 4.5 1.5
-0.25 4.5 1.5
0.0 4.5 1.5
0.25 4.5 1.5
0.5 4.5 1.5
0.75 4.5 1.5
1.0 4.5 1.5
1.25 4.5 1.52069063257
1.5 4.5 1.58113883008
1.75 4.5 1.67705098312
2.0 4.5 1.80277563773
2.25 4.5 1.95256241898
2.5 4.5 2.12132034356
2.75 4.5 2.30488611432
3.0 4.5 2.5
3.25 4.5 2.7041634566
3.5 4.5 2.91547594742
3.75 4.5 3.13249102154
4.0 4.5 3.35410196625
4.25 4.5 3.57945526582
4.5 4.5 3.80788655293
4.75 4.5 4.03887360535
-5.0 4.75 4.36606229914
-4.75 4.75 4.13823633931
-4.5 4.75 3.91311896062
-4.25 4.75 3.69120576506
-4.0 4.75 3.47311099736
-3.75 4.75 3.2596012026
-3.5 4.75 3.05163890393
-3.25 4.75 2.85043856275
-3.0 4.75 2.65753645318
-2.75 4.75 2.47487373415
-2.5 4.75 2.30488611432
-2.25 4.75 2.15058131676
-2.0 4.75 2.01556443707
-1.75 4.75 1.90394327647
-1.5 4.75 1.82002747232
-1.25 4.75 1.76776695297
-1.0 4.75 1.75
-0.75 4.75 1.75
-0.5 4.75 1.75
-0.25 4.75 1.75
0.0 4.75 1.75
0.25 4.75 1.75
0.5 4.75 1.75
0.75 4.75 1.75
1.0 4.75 1.75
1.25 4.75 1.76776695297
1.5 4.75 1.82002747232
1.75 4.75 1.90394327647
2.0 4.75 2.01556443707
2.25 4.75 2.15058131676
2.5 4.75 2.30488611432
2.75 4.75 2.47487373415
3.0 4.75 2.65753645318
3.25 4.75 2.85043856275
3.5 4.75 3.05163890393
3.75 4.75 3.2596012026
4.0 4.75 3.47311099736
4.25 4.75 3.69120576506
4.5 4.75 3.91311896062
4.75 4.75 4.13823633931
